Qualification Code,Qualification Title,Qualification Status,Currency Period Start Date,Currency Period End Date,Extent,Scope Start Date,Scope End Date,NSW Delivery Approved,VIC Delivery Approved,QLD Delivery Approved,SA Delivery Approved,WA Delivery Approved,TAS Delivery Approved,NT Delivery Approved,ACT Delivery Approved,International Delivery Approved,Organisation Code,Legal Name,Business name(s),RTO Status,Registration Manager,Legal authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office location state,Latitude,Longitude,RTO Type,ABN,ACN,URL,CEO Contact Name,CEO Email,CEO Mobile,CEO Phone,Public Enquiries Contact name,Public Enquiries Contact role job title,Public Enquiries Group name,Public Enquiries Organisation,Public Enquiries Email,Public Enquiries Mobile,Public Enquiries Phone,Registration Enquiries contact name,Registration Enquiries Contact role job title,Registration Enquiries Email,Registration Enquiries Mobile,Registration Enquiries Phone,Current Restriction/Regulatory Decision
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,09/04/2031,False,True,False,False,False,False,False,False,False,121908,Sunshine College of Management Pty Ltd,,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,11/04/2007,10/04/2024,09/04/2031,,"18 Withers St, Sunshine, VIC, 3020",Victoria,-37.78645,144.83398,Education/training Business Or Centre: Privately Operated Registered Training Organisation,40122957199,122957199,http://www.scm.vic.edu.au,Mr Sukhminderjot Bedi,sukhminder@scm.vic.edu.au,,0393115180,Mr Sukhminderjot Bedi,CEO,,Sunshine College of Management Pty Ltd,compliance@scm.vic.edu.au,,0393115180,Mr Sukhminderjot Bedi,CEO,compliance@scm.vic.edu.au,,0393115180,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,01/04/2030,True,True,True,True,True,True,True,True,False,121966,BJSB Pty Ltd,Imperial College of Technology and Management;The Imperial College of Australia,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,16/07/2007,02/04/2023,01/04/2030,,"212 Hoddle St, Abbotsford, VIC, 3067",Victoria,-37.80074,144.9932,Education/training Business Or Centre: Privately Operated Registered Training Organisation,85123406039,123406039,http://www.imperial.edu.au,Mr Michael David Suss,ceo@imperial.edu.au,,0394174777,Mr. Paramjit Jaswal,Director,,BJSB Pty Ltd,info@imperial.edu.au,,0394174777,Mr. Paramjit Jaswal,Director,info@imperial.edu.au,,0394174777,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,21/04/2023,08/12/2029,True,True,True,True,True,True,True,True,False,1727,Queensland School of Beauty Therapy Pty Ltd,Master's Institute of Technology;Queensland School of Beauty Therapy,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/10/2000,09/12/2022,08/12/2029,,"Suite 1B 28 Old Cleveland Rd, STONES CORNER, QLD, 4120",Queensland,,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,88010836745,010836745,http://www.qsb.com.au,Mr Satwinder Kumar,director@qsbt.edu.au,402160052,402160052,Mr Satwinder Kumar,DIRECTOR,,Queensland School of Beauty Therapy Pty Ltd,director@qsb.com.au,0402160052,0402160052,Mr Satwinder Kumar,CEO,director@qsb.com.au,0402160052,0402160052,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,30/11/2029,True,True,True,True,True,True,True,True,False,20829,Victorian Institute of Technology Pty Ltd,,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,26/04/2000,01/12/2022,30/11/2029,,"Level 14, 123 Queen Street, Melbourne, VIC, 3000",Victoria,-37.81576,144.96076,Education/training Business Or Centre: Privately Operated Registered Training Organisation,41085128525,085128525,http://www.vit.edu.au,Mr Nagarjun Surapaneni,info@vit.edu.au,,0396707848,Mr. Surender Etikala,Director Business Operations,,Victorian Institute of Technology Pty Ltd,surender.e@vit.edu.au,0450057710,0396707848,Mr. Surender Etikala,Director Business Operations,surender.e@vit.edu.au,0450057710,0396707848,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Assess only,10/06/2022,31/08/2030,True,True,True,True,True,True,True,True,False,21097,Bendigo Kangan Institute,VETASSESS,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,17/09/2001,01/09/2023,31/08/2030,,"Level 1, 85 Cremorne St, CREMORNE, VIC, 3121",Victoria,-37.82776,144.99084,Professional Association,74802942886,,http://www.vetassess.com.au,Dr Mamta Chauhan,mamtac@vetassess.com.au,0428272866,61396554832,Neha Seigell,"Manager, Quality Risk and Compliance",,Bendigo Kangan Institute,nehas@vetassess.com.au,396554883,396554883,Dr Rocco Guarnaccia,Head of Vocational Education and Training,roccog@vetassess.com.au,0418347593,0488330837,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,13/05/2025,True,True,True,True,True,True,True,True,False,21244,Frontier Training and Technology Pty Ltd,Frontier Institute of Technology,Current (re-registration pending),Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,18/10/2002,14/05/2018,13/05/2025,"Registration period expired, registration is taken to continue while a renewal application is considered.","1-3 Post Office Pl, GLENROY, VIC, 3046",Victoria,-37.70453,144.91675,Education/training Business Or Centre: Privately Operated Registered Training Organisation,70102164974,102164974,http://www.frontier.edu.au,Mrs Lupa Borah,lupa@frontier.edu.au,0422291141,390411820,Mr. Aasif Shaik,Assistant Manager,,Frontier Training and Technology Pty Ltd,asif@frontier.edu.au,,0390411820,Mrs Lupa Borah,Director,lupa@frontier.edu.au,0422291141,390411820,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,16/10/2025,False,True,False,False,False,False,False,False,False,21265,Education Access (Australia) Pty Ltd,EDUCATION ACCESS (AUSTRALIA) PTY LTD,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,13/12/2002,29/08/2019,16/10/2025,,"51 Brady St, SOUTH MELBOURNE, VIC, 3205",Victoria,-37.82629,144.94269,Education/training Business Or Centre: Privately Operated Registered Training Organisation,45101976596,101976596,http://www.eaa.edu.au,Erum Ali,ceo@eaa.edu.au,0433878844,0396543433,Student Support,Student Support,,Education Access (Australia) Pty Ltd,studentsupport@eaa.edu.au,,0396543433,Admissions Team,Admissions,admissions@eaa.edu.au,,0396543433,True
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,05/08/2032,True,True,True,True,True,True,True,True,False,21282,Academies Australasia Polytechnic Pty Limited,AAPoly;ACADEMIES AUSTRALASIA POLYTECHNIC;AMI EDUCATION;BENCHMARK COLLEGE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/12/2002,06/08/2025,05/08/2032,,"Level 7, 628 Bourke St, MELBOURNE, VIC, 3000",Victoria,-37.81636,144.95499,Education/training Business Or Centre: Privately Operated Registered Training Organisation,28100905182,100905182,http://www.aapoly.edu.au/,Ms Joanna Kelly,j.kelly@aapoly.edu.au,0410117614,(03)86104100,Mr Matthew Bagra,VET General Enquiries,,Academies Australasia Polytechnic Pty Limited,m.bagra@aapoly.edu.au,0433881360,+61386104193,Mr Matthew Bagra,VET Registration Enquiries,m.bagra@aapoly.edu.au,0433881360,+61386104193,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,01/05/2023,31/08/2032,True,True,True,True,True,True,True,True,False,21318,AUSTRALIAN ACADEMY OF HIGHER AND PROFESSIONAL LEARNING PTY LTD,,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/04/2003,01/09/2018,31/08/2025,,"Nirimba Education Precinct T2a, Level, 1 Office 1, 12 Warawara Circuit, QUAKERS HILL, NSW, 2763",New South Wales,,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,34098280043,098280043,http://www.aahpl.edu.au,Mrs Ingrid Ursua,ceo@aahpl.edu.au,412260438,412260438,Mrs Ingrid Ursua,CEO,,AUSTRALIAN ACADEMY OF HIGHER AND PROFESSIONAL LEARNING PTY LTD,ceo@aahpl.edu.au,412260438,412260438,Miss Pearl De Pano,Support Services Officer,support@aahpl.edu.au,,0480800688,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,29/07/2026,False,True,False,False,False,False,False,False,False,21368,Australian National Institute of Business & Technology Pty Ltd,Australian National Institute of Business & Technology,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,12/09/2003,30/07/2019,29/07/2026,,"Level 13 474 Flinders St, MELBOURNE, VIC, 3000",Victoria,-37.81809,144.96768,Education/training Business Or Centre: Privately Operated Registered Training Organisation,26105922772,105922772,http://www.anibt.vic.edu.au,Mr Jianming Chen,jianming.c@anibt.vic.edu.au,(03)96202922,(03)96202922,Mr. Koc Keong Vong,Campus Manager,,Australian National Institute of Business & Technology Pty Ltd,admin@anibt.vic.edu.au,,0393880402,Mr. Koc Keong Vong,Campus Manager,admin@anibt.vic.edu.au,,0393880402,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,04/03/2026,False,True,False,False,False,False,False,False,False,21438,Brighton Educational Services Pty Ltd,BRIGHTON COLLEGE OF ENGLISH;Brighton Institute of Technology,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,05/03/2004,05/03/2019,04/03/2026,,"Level 1 380 Bourke St, MELBOURNE, VIC, 3000",Victoria,-37.81671,144.95439,Education/training Business Or Centre: Privately Operated Registered Training Organisation,76106808753,106808753,http://www.bit.edu.au,Mr Antarpreet Sekhon,apsekhon@bit.edu.au,0405786280,0396421770,Mr Antarpreet Sekhon,CEO,,Brighton Educational Services Pty Ltd,apsekhon@bit.edu.au,0405786280,0396421770,Mr Antarpreet Sekhon,Chief Executive Officer,apsekhon@bit.edu.au,0405786280,0396421770,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,21/05/2032,True,True,True,True,True,True,True,True,False,21524,Mint Training Pty Ltd,Mint International College,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,14/10/2004,22/05/2025,21/05/2032,,"Level 1 540 Elizabeth St, MELBOURNE, VIC, 3000",Victoria,-37.80551,144.9596,Education/training Business Or Centre: Privately Operated Registered Training Organisation,14111168640,111168640,http://www.minttraining.edu.au/,Raminder Kaur Dhillon,mint.academic@minttraining.edu.au,0431379752,0431379752,,,Information Desk,Mint Training Pty Ltd,info@minttraining.edu.au,,61451188743,Raminder Kaur Dhillon,OWNER,mint.academic@minttraining.edu.au,0431379752,0431379752,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,31/07/2029,True,True,False,False,False,False,False,False,False,21588,The Health Arts College Pty Ltd,CENTURION COLLEGE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,04/03/2005,01/08/2022,31/07/2029,,"Unit 1 94-96 Foster St, DANDENONG, VIC, 3175",Victoria,-37.99087,145.21306,Education/training Business Or Centre: Privately Operated Registered Training Organisation,61099195534,099195534,http://www.centurion.edu.au,Ms Shambhvi Sharma,ceo@centurion.edu.au,0478223589,0478223589,Ms Shambhvi Sharma,CEO,,The Health Arts College Pty Ltd,ceo@centurion.edu.au,0478223589,0478223589,Ms Shambhvi Sharma,CEO,ceo@centurion.edu.au,0478223589,0478223589,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,26/01/2027,False,True,True,False,False,False,False,False,False,21595,Australian Academy of Vocational Education and Trades Pty Ltd,ACADEMIA AUSTRALIA;ACADEMIA INTERNATIONAL,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,18/03/2005,27/01/2020,26/01/2027,,"Level 8 399 Lonsdale St, MELBOURNE, VIC, 3000",Victoria,-37.81297,144.96066,Education/training Business Or Centre: Privately Operated Registered Training Organisation,19110314906,110314906,http://www.academia21.com,Mr Mel Koumides,melk@academia21.com,0403072909,0396714755,,,Admissions,Australian Academy of Vocational Education and Trades Pty Ltd,info@academia21.com,,0396714755,Mr. Narendra Joshi,Compliance Manager,narendraj@academia21.com,0421883052,(03)96714755,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,24/10/2022,30/06/2027,False,True,False,False,False,False,False,False,False,21628,International Institute of Training Pty Ltd,,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,09/06/2005,01/07/2020,30/06/2027,,"13 Tarkin Ct, BELL PARK, VIC, 3215",Victoria,-38.09793,144.34252,Education/training Business Or Centre: Privately Operated Registered Training Organisation,82113898721,113898721,http://www.iitraining.vic.edu.au,Mr Ramandeep Singh Aulakh,info@iitraining.vic.edu.au,1300651348,1300651348,Mr Ramandeep Singh Aulakh,CEO,,International Institute of Training Pty Ltd,info@iitraining.vic.edu.au,1300651348,1300651348,Mr Ramandeep Singh Aulakh,CEO,info@iitraining.vic.edu.au,1300651348,1300651348,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,27/11/2023,22/01/2032,True,True,True,True,True,True,True,True,False,21863,Modern Communications Australia Pty. Ltd.,Liquor Training Victoria;The Academy of International Education (Australia),Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/12/2006,23/01/2025,22/01/2032,,"47 Butler Street, Richmond, VIC, 3121",Victoria,-37.81052,144.99516,Education/training Business Or Centre: Privately Operated Registered Training Organisation,75087049689,087049689,http://www.taie.com.au,Mr Michael Cheng,directors@taie.com.au,,0394293188,Mr Michael Cheng,Executive Director,,Modern Communications Australia Pty. Ltd.,directors@taie.com.au,,0394293188,Mr Michael Cheng,Executive Director,directors@taie.com.au,,0394293188,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,20/03/2025,False,True,False,False,False,False,False,False,False,21888,SRAGILL Pty Ltd,AVETA - AUSTRALIAN VOCATIONAL EDUCATION & TRAINING ACADEMY,Current (re-registration pending),Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,12/02/2007,21/03/2018,20/03/2025,"Registration period expired, registration is taken to continue while a renewal application is considered.","Mezzanine Level
51 Queen Street, Melbourne, VIC, 3000",Victoria,-37.81772,144.96168,Education/training Business Or Centre: Privately Operated Registered Training Organisation,71122709835,122709835,http://www.aveta.edu.au,Mr Jagvir Gill,jagvir.gill@aveta.edu.au,0438021094,0396298835,Mr Jagvir Gill,Chief Executive Officer,,SRAGILL Pty Ltd,jagvir.gill@aveta.edu.au,0438021094,0396298835,Mr Jagvir Gill,Chief Executive Officer,jagvir.gill@aveta.edu.au,0438021094,0396298835,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,28/06/2031,False,True,False,False,False,False,False,False,False,21960,McCarthy Psychology Services Pty Ltd,McCarthy Learning,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,29/06/2007,29/06/2024,28/06/2031,,"6-8 Wedgewood Rd, HALLAM, VIC, 3803",Victoria,-38.006261,145.256609,Education/training Business Or Centre: Privately Operated Registered Training Organisation,14124042780,124042780,http://www.mccarthylearning.com.au,Hassan Ali,hassan.ali@mccarthylearning.com.au,0469782527,0469782527,Mr. Hassan Ali,CEO,,McCarthy Psychology Services Pty Ltd,training@mccarthylearning.com.au,,0389008126,Mr. Hassan Ali,CEO,training@mccarthylearning.com.au,,0389008126,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,28/05/2025,True,True,True,True,True,True,True,True,False,21978,Australian Institute of Technical Training Pty. Ltd.,AUSTRALIAN INSTITUTE OF TECHNICAL TRAINING,Current (re-registration pending),Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,06/08/2007,29/05/2018,28/05/2025,"Registration period expired, registration is taken to continue while a renewal application is considered.","Level 3 440 Elizabeth St, MELBOURNE, VIC, 3000",Victoria,-37.80859,144.96078,Education/training Business Or Centre: Privately Operated Registered Training Organisation,19125201470,125201470,http://www.aitt.vic.edu.au,Mr. Sandeep Sidhu,ceo@aitt.vic.edu.au,0448000001,0396201100,Mr. Sandeep Sidhu,CEO,,Australian Institute of Technical Training Pty. Ltd.,ceo@aitt.vic.edu.au,0448000001,0396201100,Mr. Sandeep Sidhu,CEO,ceo@aitt.vic.edu.au,0448000001,0396201100,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,28/02/2025,False,True,False,False,False,False,False,False,False,21983,Australian College of Trade Pty Ltd,AUSTRALIAN COLLEGE OF TRADE;THORNBURY THEATRE,Current (re-registration pending),Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,29/06/2007,01/07/2018,28/02/2025,"Registration period expired, registration is taken to continue while a renewal application is considered.","859 High Street, Thornbury, VIC, 3071",Victoria,-37.7548,145.00104,Education/training Business Or Centre: Privately Operated Registered Training Organisation,31126145686,126145686,,Mr Alan Silver,alan@acot.vic.edu.au,0403646119,0394848787,Mr Alan Silver,Chief Operating Officer,,Australian College of Trade Pty Ltd,alan@acot.vic.edu.au,0403646119,0394848787,Mr Alan Silver,Chief Executive Officer,alan@acot.vic.edu.au,0403646119,0394848787,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,31/01/2025,False,True,False,True,False,False,False,False,False,21984,Nova International Education Pty Ltd,Nova English;NOVA INSTITUTE;NOVA INSTITUTE OF TECHNOLOGY,Current (re-registration pending),Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,16/07/2007,01/02/2018,31/01/2025,"Registration period expired, registration is taken to continue while a renewal application is considered.","Level 5 601 Bourke St, MELBOURNE, VIC, 3000",Victoria,-37.8159,144.95629,Education/training Business Or Centre: Privately Operated Registered Training Organisation,63124181942,124181942,http://www.novainstitute.net.au,Mr. Vaneer Randhawa,vaneer@nit.edu.au,(03)96073508,(03)96073508,,,Reception,Nova International Education Pty Ltd,info@novainstitute.net.au,1300362883,1300362883,Mr. Vaneer Randhawa,Chief Executive Officer,vaneer@nit.edu.au,(03)96073508,(03)96073508,False
